Video ID,Title,View Count,Like Count,Comment Count
FNnK1J-BdiM,The World's Largest iPhone Has a Secret...,32218826,1661398,6189
dtp6b76pMak,Using Apple Vision Pro: What Itâ€™s Actually Like!,26343760,560721,32824
XxOh12Uhg08,Driving Tesla Cybertruck: Everything You Need to Know,20859755,441047,41309
OFvXuyITwBI,Apple Vision Pro Impressions!,18088060,537500,39895
cShtHM7cFR0,This Airless Basketball is 3D Printed!,14409348,679003,9688
enR58PYHaWw,iPhone 15/15 Pro Impressions: Not Just USB-C!,14029444,361318,25865
UJeSWbR6W04,Tesla Solar Roof Review: Was it Worth It?,11155676,383051,24422
UXB9bnuyZb4,The Most Tech I've Ever Seen in a Car!,10331467,541207,5904
YWTgoUqm3tY,Electric Scooter INSIDE a Briefcase!,9094561,416845,5634
cBpGq-vDr2Y,"iPhone 15 Pro Review: The Good, The Bad, & The Ugly",9069552,241223,17812
